,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Bengaluru Bulls,24,431,219,20,12,887,547,230,73,766,37,24
1,Patna Pirates,22,406,186,11,16,799,496,201,54,835,30,30
2,Dabang Delhi K.C.,24,401,198,13,19,822,483,216,73,824,34,28
3,Gujarat Fortunegiants,25,392,258,10,18,876,480,274,74,769,36,20
4,U Mumba,23,372,274,15,15,856,459,289,89,672,41,16
5,Haryana Steelers,22,361,180,12,15,715,447,193,45,806,16,33
6,U.P. Yoddha,25,357,240,10,27,812,449,265,86,847,26,30
7,Tamil Thalaivas,22,344,174,7,15,671,419,189,67,741,20,27
8,Bengal Warriors,23,340,186,16,16,725,436,200,85,734,23,23
9,Jaipur Pink Panthers,22,334,202,13,25,711,415,225,75,780,22,32
10,Telugu Titans,22,289,202,9,33,647,353,233,85,702,18,25
11,Puneri Paltan,22,286,189,7,34,649,346,219,71,694,14,29
