,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Patna Pirates,16,241,175,16,7,594,324,182,74,468,30,13
1,Bengal Warriors,16,213,137,4,13,460,250,150,70,449,17,18
2,U Mumba,16,206,163,7,6,502,253,169,59,397,27,12
3,Telugu Titans,14,206,101,3,15,427,254,116,44,437,13,17
4,Puneri Paltan,16,203,174,9,13,510,251,187,87,433,25,13
5,Dabang Delhi K.C.,14,171,98,5,13,384,233,111,54,525,9,28
6,Bengaluru Bulls,14,158,94,9,7,362,209,100,69,467,12,21
7,Jaipur Pink Panthers,14,149,101,8,16,364,193,117,59,427,11,22
