,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Telugu Titans,16,265,158,16,16,586,344,172,66,493,26,15
1,Bengaluru Bulls,16,194,158,10,7,508,252,164,80,457,25,16
2,U Mumba,16,187,180,7,16,489,237,196,81,426,20,14
3,Jaipur Pink Panthers,14,183,124,5,18,442,232,142,47,399,17,12
4,Patna Pirates,16,182,152,4,13,444,228,164,60,489,13,21
5,Puneri Paltan,14,170,104,8,11,391,223,114,56,465,12,21
6,Dabang Delhi K.C.,14,159,122,14,14,396,217,136,61,464,13,20
7,Bengal Warriors,14,134,116,9,21,367,184,136,59,430,10,17
