,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Puneri Paltan,16,230,140,10,7,515,290,146,77,491,21,17
1,Telugu Titans,16,206,157,7,5,506,267,162,76,454,22,13
2,Patna Pirates,16,206,145,7,27,492,264,171,73,466,19,12
3,Jaipur Pink Panthers,16,203,119,6,17,475,270,135,80,450,17,14
4,U Mumba,14,188,110,4,11,399,227,121,42,418,15,21
5,Bengal Warriors,14,167,117,4,8,378,202,125,62,438,11,15
6,Dabang Delhi K.C.,14,162,116,11,20,419,226,134,84,412,15,16
7,Bengaluru Bulls,14,157,109,4,15,360,201,124,59,415,9,21
