,PlayerName,Matchesplayed,Rank,PlayerProfile,TotalPoints,SuccessfulRaidPoints,RaidPoints,SuccessfulTackles,TacklePoints,Do_or_die_raidpoints,Super_raids,Super_tackles,Avg_Raidpoints,Avg_Tacklepoints,Super_10s,High_5s
131,                    Mayur Shivtarkar,7,130.0,All Rounder,6,,,1.0,1.0,,,,,,,
132,                    Krushna Madane,9,130.0,Defender,6,,,1.0,1.0,,,,,,,
133,                    Ashish Kumar,7,130.0,All Rounder,6,,,1.0,1.0,,,,,,,
134,                    Rakesh Narwal,2,130.0,Raider,6,,,1.0,1.0,,,,,,,
135,                    Abolfazl Maghsodloumahali,6,136.0,Raider,5,,,1.0,1.0,,,,,,,
136,                    Jawahar Dagar,7,136.0,Defender,5,,,1.0,1.0,,,,,,,
137,                    Vijay Kumar,9,136.0,"Defender, right corner",5,,,1.0,1.0,,,,,,,
138,                    Lalit Chaudhary,4,136.0,Raider,5,,,1.0,1.0,,,,,,,
139,                    Amit Kumar,3,136.0,All Rounder,5,,,1.0,1.0,,,,,,,
140,                    Ashish,7,136.0,Raider,5,,,,1.0,,,,,,,
141,                    Harmanjit Singh,4,136.0,Raider,5,,,,1.0,,,,,,,
142,                    Elavarasan A,3,143.0,"Defender, left cover",4,,,,1.0,,,,,,,
143,                    Ajay,10,143.0,Defender,4,,,,1.0,,,,,,,
144,                    Aman Kadian,3,143.0,Raider,4,,,,1.0,,,,,,,
145,                    Parveen,6,143.0,"Defender, left cover",4,,,,1.0,,,,,,,
146,                    Purna Singh,7,143.0,Raider,4,,,,,,,,,,,
147,                    Sachin Kumar,12,143.0,All Rounder,4,,,,,,,,,,,
148,                    Gurvinder Singh,2,143.0,Raider,4,,,,,,,,,,,
149,                    Adarsh T,9,150.0,"Defender, left corner",3,,,,,,,,,,,
150,                    Himanshu,3,150.0,"Defender, left corner",3,,,,,,,,,,,
151,                    Amit Kharb,5,150.0,"Defender, right cover",3,,,,,,,,,,,
152,                    Ponparthiban Subramanian,7,150.0,"Defender, right cover",3,,,,,,,,,,,
153,                    Ravinder,5,150.0,All Rounder,3,,,,,,,,,,,
154,                    Balram,2,155.0,All Rounder,2,,,,,,,,,,,
155,                    Palle Mallikarjun,3,155.0,Raider,2,,,,,,,,,,,
156,                    Yashwant Bishnoi,3,155.0,Raider,2,,,,,,,,,,,
157,                    Gurdeep,2,155.0,All Rounder,2,,,,,,,,,,,
158,                    Sandeep,1,155.0,All Rounder,2,,,,,,,,,,,
159,                    Hemant Chauhan,3,155.0,All Rounder,2,,,,,,,,,,,
160,                    Kamal Singh,3,155.0,Raider,2,,,,,,,,,,,
161,                    Arun Kumar HN,2,155.0,Raider,2,,,,,,,,,,,
162,                    Mohit Balyan,1,155.0,All Rounder,2,,,,,,,,,,,
163,                    Rajaguru Subramanian,5,155.0,"Defender, right cover",2,,,,,,,,,,,
164,                    Ravindra Ramesh Kumawat,3,155.0,Raider,2,,,,,,,,,,,
165,                    Sombir,8,166.0,Defender,1,,,,,,,,,,,
166,                    Mohammad Taghi Paein Mahali,3,166.0,Raider,1,,,,,,,,,,,
167,                    Satywan,1,166.0,"Defender, left cover",1,,,,,,,,,,,
168,                    Ajinkya Rohidas Kapre,2,166.0,All Rounder,1,,,,,,,,,,,
169,                    Naveen Narwal,3,166.0,"Defender, right cover",1,,,,,,,,,,,
170,                    Sumit,2,166.0,"Defender, left cover",1,,,,,,,,,,,
171,                    Aman,2,166.0,"Defender, left corner",1,,,,,,,,,,,
172,                    Vikas Chhillar,1,166.0,Raider,1,,,,,,,,,,,
