,Name,Position,Born,Team,Height,Nationality,Weight,Match Played,Points,Career Best Points,Not Out Percentage,Raids,Successful Raids,Unsuccessful Raids,Empty Raid,Successful Raid Percentage,Raid Touch Points,Raid Bonus Points,Total Raid Points,Super Raids,Super 10s,Tackles,Successful Tackles,Unsuccessful Tackles,Successful Tackles Per Match,Tackle Bonus Points,Tackle Success Rate,Super Tackles,High 5s
210,Surender Gill,Raider,"Oct 10, 1998",U.P. Yoddha,6 ft 3 in,India,80 kg,14,55,8,74.64,142,36,36,70,33.09,42,5,47,0,0,12,7,5,0.5,0,66.66,1,0
211,Surender Singh,Raider,"Sep 15, 1990",U.P. Yoddha,5 ft 11 in,India,82.4 kg,4,11,5,52.17,23,5,11,7,43.47,4,6,10,0,0,4,1,3,0.25,0,25,0,0
212,Ashu Singh,"Defender, right cover","Oct 7, 1998",U.P. Yoddha,-,India,-,17,31,4,100,1,0,0,1,0,0,0,0,0,0,74,29,45,1.7,0,41.89,2,0
213,Aashish Nagar,"Defender, right corner","Jan 1, 1970",U.P. Yoddha,-,India,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,Amit,"Defender, left cover","Jul 27, 1996",U.P. Yoddha,5 ft 7 in,India,-,17,24,4,100,14,1,0,13,14.28,2,0,2,0,0,61,20,41,1.17,0,36.06,2,0
215,Sumit,"Defender, left corner","Mar 24, 1999",U.P. Yoddha,6 ft,India,72 kg,17,60,6,83.33,6,1,1,4,33.33,1,1,2,0,0,106,58,48,3.41,0,54.71,0,5
216,Arkam Shaikh,All Rounder,"Nov 3, 1998",U.P. Yoddha,5 ft 10 in,India,79 kg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Gurdeep,All Rounder,"Jul 26, 1999",U.P. Yoddha,5 ft 11 in,India,-,2,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,66.66,0,0
218,Mohsen Maghsoudloujafari,All Rounder,"Mar 17, 1995",U.P. Yoddha,5 ft 10 in,Iran,78 kg,10,7,2,56.52,23,3,10,10,17.39,2,2,4,0,0,8,2,6,0.2,0,37.5,1,0
219,Narender,All Rounder,"Sep 10, 1986",U.P. Yoddha,5 ft 8 in,India,78 kg,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0
220,Sachin Kumar,All Rounder,"Aug 1, 1992",U.P. Yoddha,5 ft 7 in,India,-,12,4,2,92.85,14,0,1,13,0,0,0,0,0,0,11,3,8,0.25,0,36.36,1,0
