,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Dabang Delhi K.C.,20,361,181,8,8,742,437,187,50,659,34,18
1,Bengal Warriors,20,340,182,15,12,718,426,192,53,623,34,17
2,Bengaluru Bulls,19,309,168,8,25,656,393,191,42,644,21,24
3,Patna Pirates,19,291,168,13,23,640,368,191,69,641,28,23
4,Puneri Paltan,20,290,207,6,25,652,358,232,60,723,18,33
5,Haryana Steelers,19,290,181,14,14,650,377,195,71,626,27,21
6,Tamil Thalaivas,20,275,160,4,13,578,344,171,55,695,14,30
7,Telugu Titans,18,273,162,9,21,564,332,182,44,603,13,22
8,Gujarat Fortunegiants,20,265,187,5,17,605,320,203,59,591,21,22
9,Jaipur Pink Panthers,20,261,189,7,32,626,337,219,73,644,19,23
10,U Mumba,19,258,168,7,18,598,325,183,66,561,26,21
11,U.P. Yoddha,18,223,177,5,16,551,289,192,71,570,21,22
