,Name,Matches_Played,Successful_raid,Successful_tackles,Super_raid,Super_tackle,Total_points_scored,Raid_points,tackles_points,Do_or_die_raid_points,Total_points_conceded,All_outs_inflicted,All_outs_conceded
0,Telugu Titans,14,272,96,8,8,497,336,104,31,474,25,14
1,U Mumba,16,270,145,12,12,550,347,157,40,499,21,19
2,Jaipur Pink Panthers,16,270,158,9,12,579,344,170,50,458,29,15
3,Patna Pirates,16,253,124,13,18,504,316,142,42,487,18,17
4,Dabang Delhi K.C.,14,246,124,5,10,456,285,134,31,471,18,23
5,Bengaluru Bulls,16,225,153,7,10,498,291,163,40,479,20,15
6,Bengal Warriors,14,213,106,11,16,430,283,122,30,515,11,25
7,Puneri Paltan,14,204,93,11,14,405,269,107,48,536,12,26
